clubid,name,division,based
2218,Enniskillen Rangers,Northern Irish Fermanagh Division One,N.Ireland (Fermanagh Division One)
2219,Enniskillen T Utd,Northern Irish Fermanagh Division One,N.Ireland (Fermanagh Division One)
2220,Enosi Ap. Pavlou,Greek Amateur Division - Imathia,Greece (GAD - Imathia)
2221,Entella,Italian Serie B,Italy (Serie B)
2222,Entente Feignies Aulnoye,French National 3 - Hauts de France,France (Nat 3 - Hauts France)
2223,Entente UGA Ardziv,French National 3 - Corse - MÃ©diterranÃ©e,France (Nat 3 - Corse - Med)
2224,Enugu Rangers,Nigerian Premier League,Nigeria (Premier League)
2225,Envigado F.C.,Colombian First Division,Colombia (First Division)
2226,Enyimba,Nigerian Premier League,Nigeria (Premier League)
2227,EO Sidi Bouzid,Tunisian League 2 - Group A,Tunisia (League 2A)
2228,Eordaikos,Greek Amateur Division - Kozani,Greece (GAD - Kozani)
2229,Episkopi,Greek Regional Division Group 8,Greece (Regional Division 8)
2230,Epping City FC,Victorian State League 2 North-West,Australia (Vic SL 2NW)
2231,EPS,Finnish Second Division Group B,Finland (Second Division Group B)
2232,Erakor GS,Vanuatuan Port Vila Premier Division,Vanuatu (Port Vila Premier)
2233,Erani,Greek Amateur Division - Messinia,Greece (GAD - Messinia)
2234,Erbil,Iraqi Premier League,Iraq (Premier League)
2235,Ercsi,Hungarian Lower Division,Hungary (Lower Division)
2236,Erfurt,German Regional Division Northeast,Germany (Regional Div. Northeast)
2237,Ergotelis,Greek Super League 2,Greece (Super League 2)
2238,Ermionida,Greek Regional Division Group 7,Greece (Regional Division 7)
2239,Ermis Aradippou,Cypriot Second Division,Cyprus (Second Division)
2240,Ermis Exochis,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
2241,Ermis Kiveriou,Greek Amateur Division - Argolida,Greece (GAD - Argolida)
2242,Ermis Zonianon,Greek Amateur Division - Rethymno,Greece (GAD - Rethymno)
2243,Erzgebirge Aue,Bundesliga 2,Germany (Bundesliga 2)
2244,ES Fos-sur-Mer,French Regional Divisions,France (Regional Divisions)
2245,ES Hammam-Sousse,Tunisian League 2 - Group B,Tunisia (League 2B)
2246,ES Sahel,Tunisian League 1,Tunisia (League 1)
2247,ES Thaon,French National 3 - Grand Est,France (Nat 3 - Grand Est)
2248,ES Tunis,Tunisian League 1,Tunisia (League 1)
2249,Esbjerg fB,3F Superliga,Denmark (3F Superliga)
2250,Esc. Industrial (URU),Uruguayan Cerro Largo League,Uruguay (Cerro Largo League)
2251,Eschen/Mauren,Swiss First League Group 3,Switzerland (First League Group 3)
2252,Eschenbach,Swiss Lower Division,Switzerland (Lower Division)
2253,Escuela Presidente Roca,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2254,Esenler Erokspor,Turkish 3. League Group 2,Turkey (3. League Group 2)
2255,Eskilsminne IF,Swedish First Division South,Sweden (First Division South)
2256,Eskilstuna City,Swedish Third Division South Svealand,Sweden (Third Division SS)
2257,ESMTK,Hungarian Division III - Kelet,Hungary (Division III - Kelet)
2258,EsPa,Finnish Third Division,Finland (Finnish Third Division)
2259,Espanyol,Spanish Second Division,Spain (Second Division)
2260,Espanyol B,Spanish Second Division B3,Spain (Second Division B3)
2261,Esparta de Colonia V.,Uruguayan Colonia League,Uruguay (Colonia League)
2262,Espinho,Portugal Championship - Group B,Portugal (PT Championship B)
2263,Esportivo,Brazilian National Lower Division,Brazil (Lower Division)
2264,Esse IK,Finnish Third Division,Finland (Finnish Third Division)
2265,Essendon Royals,Victorian State League 1 North-West,Australia (Vic State League 1 NW)
2266,Essendon United,Victorian State League 3 North-West,Australia (Vic SL 3NW)
2267,Essingen,German Lower Division,Germany (German Lower Division)
2268,Este,Italian Serie D Grp. C,Italy (Serie D Grp. C)
2269,Esteghlal,Iranian Professional League,Iran (Pro League)
2270,Esteghlal Khuzestan,Iranian First Division,Iran (First Division)
2271,Estepona,Spanish DivisiÃ³n Honor AndalucÃ­a Gr. 2,Spain (Div. Honor AndalucÃ­a G1)
2272,Estoril,Portuguese Second League,Portugal (Second League)
2273,Estoril B,Portuguese Lower Regional Divisions,Portugal (Lower Regional Divisions)
2274,Estradense,Spanish Third Division Group 1,Spain (Third Division Group 1)
2275,Estrella de Berisso,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2276,Estrella del Norte (URU),Uruguayan Canelones League,Uruguay (Canelones League)
2277,Estrella Roja,Venezuelan Lower Division,Venezuela (Lower Division)
2278,Estuaire,Gabonese Lower Divisions,Gabon (Lower Divisions)
2279,Estudiantes (BA),Argentine Second Division,Argentina (Second Division)
2280,Estudiantes (LP),Argentine Premier Division,Argentina (Premier Division)
2281,Estudiantes (Mercedes),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2282,Estudiantes (San Luis),Argentine Torneo Federal A,Argentina (Interior Zone)
2283,Estudiantil Sanducero,Uruguayan PaysandÃº League,Uruguay (PaysandÃº League)
2284,Etar,Bulgarian A Regional Groups,Bulgaria (A OFG)
2285,Eth. Archipolis,Greek Amateur Division - Dodekanisa,Greece (GAD - Dodekanisa)
2286,Eth. Filippiadas,Greek Amateur Division - Preveza,Greece (GAD - Preveza)
2287,Eth. Giannitson,Greek Amateur Division - Pella,Greece (GAD - Pella)
2288,Eth. Kastrakiou,Greek Amateur Division - Trikala,Greece (GAD - Trikala)
2289,Eth. Keramidiou,Greek Amateur Division - Pieria,Greece (GAD - Pieria)
2290,Eth. Neas Makris,Greek Amateur Division - Eastern Attica,Greece (GAD - Eastern Attica)
2291,Eth. Panoramatos,Greek Amateur Division - Western Attica,Greece (GAD - Western Attica)
2292,Eth. Sidirokastrou,Greek Amateur Division - Serres,Greece (GAD - Serres)
2293,Eth. Skoulikadou,Greek Amateur Division - Zakynthos,Greece (GAD - Zakynthos)
2294,Eth. Sochou,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
2295,Ethnikos,Greek Regional Division Group 5,Greece (Regional Division 5)
2296,Etimesgut Bld.,Turkish 2. League Red Group,Turkey (2. League Red)
2297,Etoile-Carouge,Swiss Promotion League,Switzerland (Promotion League)
2298,Etzella Ettelbruck,Luxembourg National Division,Luxembourg (National Division)
2299,Eunos Crescent,Singaporean National Football League Division One,Singapore (NFL Division 1)
2300,EuPa,Finnish Lower Division,Finland (Lower Division)
2301,Eupen,Belgian Pro League A,Belgium (Pro League A)
2302,Europa FC,Gibraltar National League,Gibraltar (National League)
2303,Everton,English Premier Division,England (Premier Division)
2304,Everton (La Plata),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2305,Evreux FC 27,French National 3 - Normandie,France (Nat 3 - Normandie)
2306,EVV,Dutch Derde Divisie Zondag,Holland (Derde Divisie Zondag)
2307,Excelsior,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
2308,Excelsior '31,Dutch Derde Divisie Zaterdag,Holland (Derde Divisie Zaterdag)
2309,Excelsior M,Dutch Tweede Divisie,Holland (Dutch Tweede Divisie)
2310,Excursionistas,Argentine Metropolitan C Zone,Argentina (Fourth Division AFA)
2311,Exeter,Sky Bet League Two,England (Sky Bet League Two)
2312,Extremadura,Spanish Second Division,Spain (Second Division)
2313,Extremadura B,Spanish Third Division Group 14,Spain (Third Division Group 14)
2314,F.C. Andorra,Spanish Second Division B3,Spain (Second Division B3)
2315,F.C. Santa Coloma,Andorran First Division,Andorra (First Division)
2316,F.E. Gramenet,Spanish Primera Catalana Gr. 1,Spain (Primera Catalana G1)
2317,FA 2000,2. Division,Denmark (2. Division)
2318,FA Euro,USSL D3 - Mid Atlantic Division,U.S.A. (Mid Atlantic Division)
2319,Fabril do Barreiro,Portugal Championship - Group D,Portugal (PT Championship D)
2320,FAC,Brazilian National Third Division,Brazil (Third Division)
2321,FADEP (Mza),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
2322,Fafe,Portugal Championship - Group A,Portugal (PT Championship A)
2323,Fahaheel,Kuwaiti First Division,Kuwait (First Division)
2324,Fairview Rangers,Irish Limerick & District Premier Division,Ireland (Limerick Premier Division)
2325,Faisaly (JOR),Jordanian Professional League,Jordan (Pro-League)
2326,Fajr Sepasi,Iranian First Division,Iran (First Division)
2327,Fakel,Russian First Division,Russia (First Division)
2328,Falaniakos,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
2329,Falirikos,Greek Amateur Division - Piraeus,Greece (GAD - Piraeus)
2330,Faliro,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
2331,Falkenbergs FF,Swedish Premier Division,Sweden (Premier Division)
2332,Falkirk,Ladbrokes League 1,Scotland (Ladbrokes League 1)
2333,Fana,Norwegian Third Division Group 4,Norway (Third Division Group 4)
2334,Fanad Utd,Irish Ulster Senior League Premier Division,Ireland (Ulster Senior League)
2335,Fanfulla,Italian Serie D Grp. D,Italy (Serie D Grp. D)
2336,Fano,Italian Serie C/B,Italy (Serie C/B)
2337,FAP,Serbian Zone League,Serbia (Zone League)
2338,FAR Rabat,Moroccan Premier Division,Morocco (Premier Division)
2339,Farense,Portuguese Second League,Portugal (Second League)
2340,Farense B,Portuguese Lower Regional Divisions,Portugal (Lower Regional Divisions)
2341,Farsley,Vanarama National League North,England (Vanarama North)
2342,Farul Tuzla,Romanian Fourth League ConstanÅ£a,Romania (Liga IV ConstanÅ£a)
2343,Farvagny/Ogoz,Swiss Second League Interregio Gr 2,Switzerland (Second League Inter Gr 2)
2344,FAS,El Salvador Primera DivisiÃ³n,El Salvador (Primera DivisiÃ³n)
2345,Fasil Kenema,Ethiopian Premier Division,Ethiopia (Premier Division)
2346,Fast Clube,Brazilian National Fourth Division,Brazil (Fourth Division)
2347,Fátima,Portugal Championship - Group C,Portugal (PT Championship C)
2348,Fatsa Bld.,Turkish 3. League Group 2,Turkey (3. League Group 2)
2349,Fauldhouse Utd,Scottish Juniors East Region South Superleague,Scotland (East Superleague South)
2350,Fauske/Sprint,Norwegian Fourth Division Group 21,Norway (Fourth Division Nordland)
2351,Fawkner SC,Victorian State League 3 North-West,Australia (Vic SL 3NW)
2352,FBC Aurora,Peruvian Copa Peru,Peru (Copa Peru)
2353,FC 105,Gabonese Lower Divisions,Gabon (Lower Divisions)
2354,FC Andelsbuch,Austrian Div. Vorarlberg,Austria (Vorarlberg-Liga)
2355,FC Arizona,NPSL West Region,U.S.A. (West Region)
2356,FC Augsburg,Bundesliga,Germany (Bundesliga)
2357,FC Augsburg II,German Regional Division Bavaria,Germany (Regional Div. Bavaria)
2358,FC Aurillac Arpajon,French National 3 - Auvergne RhÃ´ne Alpes,France (Nat 3 - Auvergne RA)
2359,FC Bardez,Indian Lower Division,India (Indian Lower Division)
2360,FC Bassin Arcachon,French National 3 - Nouvelle Aquitaine,France (Nat 3 - Nouv Aquitaine)
2361,FC Bastia-Borgo,French National,France (National)
2362,FC Bayern,Bundesliga,Germany (Bundesliga)
2363,FC Bayern II,3. Liga,Germany (3. Liga)
2364,FC Blackbird,Finnish Third Division,Finland (Finnish Third Division)
2365,FC Boda,Finnish Lower Division,Finland (Lower Division)
2366,FC Brandenburg,German Lower Division,Germany (German Lower Division)
2367,FC Buffalo,NPSL Midwest Region,U.S.A. (Midwest Region)
2368,FC Buffalo (RSA),SAFA Eastern Cape Division 3,South Africa (Eastern Cape Division 3)
2369,FC Bulleen Lions,National Premier Leagues - Victoria 2,Australia (NPL - Victoria 2)
2370,FC BW Linz,Austrian First Division,Austria (First Division)
2371,FC Cascavel,Brazilian National Lower Division,Brazil (Lower Division)
2372,FC Challans,French National 3 - Pays de la Loire,France (Nat 3 - Pays de la Loire)
2373,FC Chambly,Domino's Ligue 2,France (Domino's Ligue 2)
2374,FC Chauray,French Regional Divisions,France (Regional Divisions)
2375,FC Clifton Hill,Victorian State League 1 North-West,Australia (Vic State League 1 NW)
2376,FC Columbus,NPSL Midwest Region,U.S.A. (Midwest Region)
2377,FC Dallas,Major League Soccer,U.S.A. (MLS)
2378,FC Den Bosch,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
2379,FC Dieppe,French National 3 - Normandie,France (Nat 3 - Normandie)
2380,FC Djursland,Denmark's Series Group 4,Denmark (Denmark's Series Group 4)
2381,FC Dordrecht,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
2382,FC Doren,Austrian 1. Landesklasse (Vbg),Austria (1. Landesklasse (Vbg))
2383,FC Dornbirn 1913,Austrian First Division,Austria (First Division)
2384,FC Edmonton,Canadian Premier League,Canada (Canadian Premier League)
2385,FC Eindhoven,Keuken Kampioen Divisie,Holland (Keuken Kampioen Divisie)
2386,FC Emmen,Eredivisie,Holland (Eredivisie)
2387,FC Espoo,Finnish Second Division Group B,Finland (Second Division Group B)
2388,FC Espoo/2,Finnish Third Division,Finland (Finnish Third Division)
2389,FC Finnkurd,Finnish Third Division,Finland (Finnish Third Division)
2390,FC Fleury 91,French National 2 - B,France (National 2 - B)
2391,FC Frankfurt,German Lower Division,Germany (German Lower Division)
2392,FC Fredericia,NordicBet Liga,Denmark (NordicBet Liga)
2393,FC Gleisdorf 09,Austrian Regional Division Central,Austria (Regional Division Central)
2394,FC Glid,Finnish Lower Division,Finland (Lower Division)
2395,FC Gobelins Paris 13,French National 2 - B,France (National 2 - B)
2396,FC Golden State,NPSL West Region,U.S.A. (West Region)
2397,FC Grandvillars,French Regional Divisions,France (Regional Divisions)
2398,FC Groningen,Eredivisie,Holland (Eredivisie)
2399,FC Haka,Finnish First Division,Finland (First Division)
2400,FC Halifax,Vanarama National League,England (Vanarama National)
2401,FC Hammamet,Tunisian League 3,Tunisia (League 3)
2402,FC Hermannstadt,Romanian First League,Romania (Casa Liga I)
2403,FC HIK,Finnish Third Division,Finland (Finnish Third Division)
2404,FC Hiroshima,Nihon-League 1,Japan (Nihon-League 1)
2405,FC Honka,Finnish Premier League,Finland (Premier League)
2406,FC Honka/Akatemia,Finnish Second Division Group B,Finland (Second Division Group B)
2407,FC Inter,Finnish Premier League,Finland (Premier League)
2408,FC Inter 2,Finnish Third Division,Finland (Finnish Third Division)
2409,FC Jazz,Finnish Second Division Group B,Finland (Second Division Group B)
2410,FC Juárez,Mexican First Division,Mexico (First Division)
2411,FC Jukola,Finnish Lower Division,Finland (Lower Division)
2412,FC Kiffen,Finnish Second Division Group A,Finland (Second Division Group A)
2413,FC Kiffen/2,Finnish Lower Division,Finland (Lower Division)
2414,FC Kirkkonummi,Finnish Lower Division,Finland (Lower Division)
2415,FC KOMU,Finnish Lower Division,Finland (Lower Division)
2416,FC Kontu,Finnish Third Division,Finland (Finnish Third Division)
2417,FC Korsholm,Finnish Lower Division,Finland (Lower Division)
2418,FC Kosice,Slovak Second Division,Slovakia (Second Division)
2419,FC KTP,Finnish First Division,Finland (First Division)
2420,FC Kuffen,Finnish Lower Division,Finland (Lower Division)
2421,FC Kufstein,Austrian Regional Division Tyrol,Austria (Regional Division Tyrol)
2422,FC Kuusysi,Finnish Third Division,Finland (Finnish Third Division)
2423,FC Lahti,Finnish Premier League,Finland (Premier League)
2424,FC Lendorf,Austrian Div. Carinthia,Austria (KÃ¤rntner Liga)
2425,FC Liefering,Austrian First Division,Austria (First Division)
2426,FC Lienden,Dutch Derde Divisie Zondag,Holland (Derde Divisie Zondag)
2427,FC Limonest Saint-Didier,French National 3 - Auvergne RhÃ´ne Alpes,France (Nat 3 - Auvergne RA)
2428,FC Lisse,Dutch Derde Divisie Zaterdag,Holland (Derde Divisie Zaterdag)
2429,FC London,League1 Ontario,Canada (League1 Ontario)
2430,FC Lorient,French National 2 - B,France (Ligue 1 Conforama)
2431,FC Lyon,French Regional Divisions,France (Regional Divisions)
2432,FC Mantois 78,French National 2 - B,France (National 2 - B)
2433,FC Marmande,French Regional Divisions,France (Regional Divisions)
2434,FC Martigues,French National 2 - D,France (National 2 - D)
2435,FC Masr,Egyptian Premier League,Egypt (Premier League)
2436,FC Mauerwerk,Austrian Regional Division East,Austria (Regional Division East)
2437,FC Messina,Italian Serie D Grp. I,Italy (Serie D Grp. I)
2438,FC Metz,French Reserves Group 3,France (Ligue 1 Conforama)
2439,FC Midtjylland,3F Superliga,Denmark (3F Superliga)
2440,FC Montceau Bourgogne,French National 3 - Bourgogne Franche ComtÃ©,France (Nat 3 - Bourgogne FC)
2441,FC Motown,NPSL Northeast Region,U.S.A. (Northeast Region)
2442,FC Muhlenbach,Luxembourg National Division,Luxembourg (National Division)
2443,FC Mulhouse,French National 2 - A,France (National 2 - A)
2444,FC Nantes,French National 2 - C,France (Ligue 1 Conforama)
2445,FC Noisy Le Grand,French National 3 - Paris Ile de France,France (Nat 3 - Paris Ile France)
2446,FC Nouadhibou,Mauritanian Premier Division,Mauritania (Premier Division)
2447,FC Ouest Tourangeau 37,French National 3 - Centre Val de Loire,France (Nat 3 - Centre Val Loire)
2448,FC PCSC,Korean K4 League,South Korea (K4 League)
2449,FC Peltirumpu,Finnish Third Division,Finland (Finnish Third Division)
2450,FC Pinzgau Saalfelden,Austrian Regional Division Salzburg,Austria (Regional Div. Salzburg)
2451,FC POHU,Finnish Lower Division,Finland (Lower Division)
2452,FC Prishtina Bern,Swiss Lower Division,Switzerland (Lower Division)
2453,FC Pucioasa,Romanian Third League Group 3,Romania (Liga III Seria 3)
2454,FC Rapid,Romanian Fourth League BucureÅti,Romania (Liga II)
2455,FC Rauma,Finnish Lower Division,Finland (Lower Division)
2456,FC RB Salzburg,Austrian Premier Division,Austria (Premier Division)
2457,FC Renaissance,DR Congolese Premier Division,DR Congo (Premier Division)
2458,FC Roskilde,NordicBet Liga,Denmark (NordicBet Liga)
2459,FC Rouen,French National 2 - B,France (National 2 - B)
2460,FC Saint-Leu 95,French National 3 - Paris Ile de France,France (Nat 3 - Paris Ile France)
2461,FC Saint-Louis Neuweg,French National 3 - Grand Est,France (Nat 3 - Grand Est)
2462,FC Salaise,French Regional Divisions,France (Regional Divisions)
2463,FC Santa Claus,Finnish Lower Division,Finland (Lower Division)
2464,FC Sens,French National 3 - Bourgogne Franche ComtÃ©,France (Nat 3 - Bourgogne FC)
2465,FC St. Otmar,Swiss Lower Division,Switzerland (Lower Division)
2466,FC St. Pauli,Bundesliga 2,Germany (Bundesliga 2)
2467,FC St. Pauli II,German Regional Division North,Germany (Regional Div. North)
2468,FC Stadlau,Austrian Div. Vienna,Austria (Wiener Stadtliga)
2469,FC Strathmore,Victorian State League 3 North-West,Australia (Vic SL 3NW)
2470,FC Sydvest,2. Division,Denmark (2. Division)
2471,FC Tavastia,Finnish Lower Division,Finland (Lower Division)
2472,FC Tilleur,Belgian Second Amateur Division C,Belgium (Second Division C)
2473,FC Tres Algarrobos,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2474,FC Trofaiach,Austrian Oberliga North (St),Austria (Oberliga North)
2475,FC Twente,Eredivisie,Holland (Eredivisie)
2476,FC U Craiova,Romanian Third League Group 4,Romania (Liga III Seria 4)
2477,FC Ukraine United,Canadian Soccer League,Canada (CSL)
2478,FC Utrecht,Eredivisie,Holland (Eredivisie)
2479,FC Vantaa,Finnish Lower Division,Finland (Lower Division)
2480,FC Vaulx,French National 3 - Auvergne RhÃ´ne Alpes,France (Nat 3 - Auvergne RA)
2481,FC Versailles 78,French National 3 - Paris Ile de France,France (Nat 3 - Paris Ile France)
2482,FC Viikingit,Finnish Second Division Group A,Finland (Second Division Group A)
2483,FC Viitorul,Romanian First League,Romania (Casa Liga I)
2484,FC Villefranche,French National,France (National)
2485,FC Volendam,Dutch Tweede Divisie,Holland (Dutch Tweede Divisie)
2486,FC Voluntari,Romanian First League,Romania (Casa Liga I)
2487,FC Wacker Innsbruck,Austrian First Division,Austria (First Division)
2488,FC Wels,Austrian Regional Division Central,Austria (Regional Division Central)
2489,FC Wichita,NPSL Midwest Region,U.S.A. (Midwest Region)
2490,FC Williamstown,Victorian State League 3 North-West,Australia (Vic SL 3NW)
2491,FC Wolfurt,Austrian Eliteleague Vorarlberg,Austria (Eliteleagu Vorarlberg)
2492,FC Ylivieska,Finnish Lower Division,Finland (Lower Division)
2493,FC Zirl,Austrian Regional Division Tyrol,Austria (Regional Division Tyrol)
2494,FCI Levadia,Estonian Premier League,Estonia (Premier League)
2495,FCM Aubervilliers,French National 3 - Paris Ile de France,France (Nat 3 - Paris Ile France)
2496,FCM Traiskirchen,Austrian 2. Klasse Triestingtal (NÃ),Austria (2. Klasse Triestingtal)
2497,FCP,Portuguese Premier League,Portugal (Premier League)
2498,FCP B,Portuguese Second League,Portugal (Second League)
2499,FCV,Finnish Second Division Group C,Finland (Second Division Group C)
2500,FCV Dender,Belgian First Amateur Division,Belgium (First Division)
2501,FCSB,Romanian First League,Romania (Casa Liga I)
2502,FCSM,Domino's Ligue 2,France (Domino's Ligue 2)
2503,FCSR Haguenau,French National 2 - A,France (National 2 - A)
2504,Feirense,Portuguese Second League,Portugal (Second League)
2505,Felcra,Malaysian Lower Division,Malaysia (Lower Division)
2506,Felda Utd,Malaysian Super League,Malaysia (Super League)
2507,Felgueiras,Portugal Championship - Group B,Portugal (PT Championship B)
2508,Felino,Italian Eccellenza Emilia-Romagna Grp.A,Italy (Eccellenza Emilia-Rom. A)
2509,Fello Star,Guinean Premier Division,Guinea (Premier Division)
2510,Fencibles Utd,New Zealand NRFL Division One,New Zealand (NRFL Division 1)
2511,Fenrir,Icelandic Lower Division,Iceland (Lower Division)
2512,Ferencváros,Hungarian Division I,Hungary (Division I)
2513,Fermana F.C.,Italian Serie C/B,Italy (Serie C/B)
2514,Fermoy,Irish Munster Senior League Second Division,Ireland (Munster Second Division)
2515,Fernández Vial,Chilean Second Division,Chile (Second Division)
2516,Fernándo Cáceres FC,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2517,Fernhill,Illawarra District League,Australia (District League)
2518,Feronikeli,Kosovan Superleague,Kosovo (Superleague)
2519,Ferro,Argentine Second Division,Argentina (Second Division)
2520,Ferro Carril de Salto,Uruguayan Salto League,Uruguay (Salto League)
2521,Ferro de General Pico,Argentine Torneo Federal A,Argentina (Interior Zone)
2522,Ferrocarril Roca,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2523,Ferrocarril Sud (Tandil),Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2524,Ferrocarrilero de Empalme,Uruguayan Canelones League,Uruguay (Canelones League)
2525,Ferrol,Spanish Second Division B1,Spain (Second Division B1)
2526,Ferroviária (SP),Brazilian National Fourth Division,Brazil (Fourth Division)
2527,Ferroviario (Corrientes),Argentine Torneo Federal B,Argentina (Fourth Division non AFA)
2528,Ferroviarios,Chilean Centre Group Third Division B,Chile (Centre Group 3Â°B)
2529,Ferrybank,Irish Waterford & District Premier Division,Ireland (Waterford Premier Div)
2530,Ferrymead Bays,New Zealand Mainland Premier League,New Zealand (Mainland Premier)
2531,Fet,Norwegian Fourth Division Group 2,Norway (Fourth Division Akershus)
2532,Fethiyespor,Turkish 3. League Group 2,Turkey (3. League Group 2)
2533,Feyenoord,Eredivisie,Holland (Eredivisie)
2534,FF Jaro,Finnish First Division,Finland (First Division)
2535,FH,Icelandic Premier Division,Iceland (Premier Division)
2536,FICA,Haitian Championnat National D1,Haiti (Premier Division)
2537,Fidelis Andria,Italian Serie D Grp. H,Italy (Serie D Grp. H)
2538,FIG,Brazilian National Second Division,Brazil (Second Division)
2539,Figueres,Spanish Third Division Group 5,Spain (Third Division Group 5)
2540,Fiki,Greek Amateur Division - Trikala,Greece (GAD - Trikala)
2541,Filakovo,Slovak Lower Division,Slovakia (Lower Division)
2542,Filoktitis,Greek Amateur Division - Larisa,Greece (GAD - Larisa)
2543,Finn Harps,Irish Premier Division,Ireland (Premier Division)
2544,Fiorentina,Italian Serie A,Italy (Serie A)
2545,Fiorenzuola,Italian Serie D Grp. D,Italy (Serie D Grp. D)
2546,Firhouse,Irish Leinster Senior League First Division,Ireland (Leinster First Division)
2547,First Vienna FC 1894,Austrian Div. Vienna,Austria (Wiener Stadtliga)
2548,Fitzroy City,Victorian State League 2 North-West,Australia (Vic SL 2NW)
2549,Fivemiletown,Northern Irish Mid Ulster Intermediate A,N.Ireland (Mid Ulster Intermediate A)
2550,Fjellhamar,Norwegian Lower Division,Norway (Lower Division)
2551,FJK,Finnish Third Division,Finland (Finnish Third Division)
2552,FK Austria Vienna,Austrian First Division,Austria (First Division)
2553,Flamengo,Brazilian National First Division,Brazil (First Division)
2554,Flamengo (PI),Brazilian National Lower Division,Brazil (Lower Division)
2555,Flamingo Gorishni Plavni,Ukrainian Reg Div - Poltavs'ka oblast - D1,Ukraine (URD - Poltavs'ka - D1)
2556,Flaminia,Italian Serie D Grp. E,Italy (Serie D Grp. E)
2557,Flamurtari (P),Kosovan Superleague,Kosovo (Superleague)
2558,Flandria,Argentine Metropolitan B Zone,Argentina (Metropolitan Zone)
2559,Flat Earth,Spanish Third Division Group 7,Spain (Third Division Group 7)
2560,Fleetwood,Sky Bet League One,England (Sky Bet League One)
2561,Flint,Norwegian Third Division Group 3,Norway (Third Division Group 3)
2562,Flint Town,JD Cymru North,Wales (JD Cymru North)
2563,Floreat Athena,National Premier Leagues - Western Australia,Australia (NPL WA)
2564,Florencio Varela,Argentine Torneo Federal C,Argentina (Fifth Division non AFA)
2565,Floresta (CE),Brazilian National Fourth Division,Brazil (Fourth Division)
2566,Floriana,Maltese Premier League,Malta (Premier League)
2567,Floridsdorfer AC,Austrian 2. Landesliga Wien,Austria (2. Landesliga Wien)
2568,Flota,Polish Fourth Division,Poland (Fourth Division)
2569,Fluminense,Brazilian National First Division,Brazil (First Division)
2570,Fluminense de Feira,Brazilian National Fourth Division,Brazil (Fourth Division)
2571,Foggia,Italian Serie D Grp. H,Italy (Serie D Grp. H)
2572,Foinikas Neas Epidavrou,Greek Amateur Division - Argolida,Greece (GAD - Argolida)
2573,Foinikas Polichnis,Greek Amateur Division - Macedonia,Greece (GAD - Macedonia)
2574,Foivos Kremastis,Greek Amateur Division - Dodekanisa,Greece (GAD - Dodekanisa)
2575,Fokikos,Greek Amateur Division - Fokida,Greece (GAD - Fokida)
2576,Fola Esch,Luxembourg National Division,Luxembourg (National Division)
2577,Folgore Caratese,Italian Serie D Grp. B,Italy (Serie D Grp. B)
2578,Folgosa Maia,Portuguese Porto Second Division Serie 2,Portugal (Porto Honor Division 2)
2579,Follonica Gavorrano,Italian Serie D Grp. E,Italy (Serie D Grp. E)
2580,Fontinhas,Portugal Championship - Group C,Portugal (PT Championship C)
2581,Forest Green,Sky Bet League Two,England (Sky Bet League Two)
2582,Foresta Suceava,Romanian Third League Group 1,Romania (Liga III Seria 1)
2583,Forfar,Ladbrokes League 1,Scotland (Ladbrokes League 1)
2584,Forfar W.E.,Scottish Juniors East Region South Superleague,Scotland (East Superleague South)
2585,Forge FC,Canadian Premier League,Canada (Canadian Premier League)
2586,Formartine Utd,Highland Football League,Scotland (Highland League)
2587,Formentera,Spanish Third Division Group 11,Spain (Third Division Group 11)
2588,Formosa,Brazilian National Lower Division,Brazil (Lower Division)
2589,Forres Mechanics,Highland Football League,Scotland (Highland League)
2590,Forrest Hill Milford,New Zealand NRFL Division One,New Zealand (NRFL Division 1)
2591,Forrestfield United,Western Australia State League Division 2,Australia (WA State League Div 2)
2592,Fort William,Highland Football League,Scotland (Highland League)
2593,Fort Worth,NPSL South Region,U.S.A. (South Region)
2594,Fortaleza,Brazilian National First Division,Brazil (First Division)
2595,Fortaleza C.E.I.F.,Colombian Second Division,Colombia (Second Division)
2596,Forte Querceta,Italian Serie D Grp. A,Italy (Serie D Grp. A)
2597,Fortuna Sittard,Eredivisie,Holland (Eredivisie)
2598,Forward-Morges,Swiss Second League Interregio Gr 1,Switzerland (Second League Inter Gr 1)
2599,Fossano,Italian Serie D Grp. A,Italy (Serie D Grp. A)
2600,Fostiras,Greek Regional Division Group 5,Greece (Regional Division 5)
